Country,Start Month,Animal accident,Drought,Earthquake,Epidemic,Extreme temperature ,Flood,Fog,Glacial lake outburst,Impact,Insect infestation,Landslide,Mass movement (dry),Storm,Volcanic activity,Wildfire,mean_deaths_per_month,CountryMonthlyMean,GlobalMonthlyMean
Bhutan,10.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.0,52.833333333333336,511.2567567567568
Bolivia (Plurinational State of),1.0,0,1,0,6,0,18,0,0,0,0,1,0,0,0,0,38.95,36.79236111111111,434.68226600985224
Bolivia (Plurinational State of),2.0,0,0,0,2,0,18,0,0,0,0,4,0,0,0,0,29.875,36.79236111111111,185.49571428571429
Bolivia (Plurinational State of),3.0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,84.75,36.79236111111111,151.31508875739644
Bolivia (Plurinational State of),4.0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,31.5,36.79236111111111,526.7740693196406
Bolivia (Plurinational State of),5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,95.0,36.79236111111111,1085.6772366930918
Bolivia (Plurinational State of),6.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,13.0,36.79236111111111,237.06111696522655
Bolivia (Plurinational State of),7.0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,6.333333333333333,36.79236111111111,5728.0
Bolivia (Plurinational State of),8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,10.5,36.79236111111111,280.8321108394458
Bolivia (Plurinational State of),9.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19.0,36.79236111111111,365.75765765765766
Bolivia (Plurinational State of),10.0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,46.333333333333336,36.79236111111111,511.2567567567568
Bolivia (Plurinational State of),11.0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,11.666666666666666,36.79236111111111,581.2519280205655
Bolivia (Plurinational State of),12.0,0,3,0,0,0,4,0,0,0,0,1,0,0,0,0,54.6,36.79236111111111,1039.5979899497488
Bosnia and Herzegovina,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,4.433333333333334,434.68226600985224
Bosnia and Herzegovina,2.0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,4.666666666666667,4.433333333333334,185.49571428571429
Bosnia and Herzegovina,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,4.433333333333334,151.31508875739644
Bosnia and Herzegovina,4.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,4.433333333333334,526.7740693196406
Bosnia and Herzegovina,5.0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,13.0,4.433333333333334,1085.6772366930918
Bosnia and Herzegovina,6.0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,4.433333333333334,237.06111696522655
Bosnia and Herzegovina,7.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,4.433333333333334,5728.0
Bosnia and Herzegovina,8.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1.0,4.433333333333334,280.8321108394458
Bosnia and Herzegovina,9.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,4.433333333333334,365.75765765765766
Bosnia and Herzegovina,10.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,4.433333333333334,511.2567567567568
Bosnia and Herzegovina,12.0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,2.5,4.433333333333334,1039.5979899497488
Botswana,1.0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,241.0,109.08333333333334,434.68226600985224
Botswana,2.0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10.333333333333334,109.08333333333334,185.49571428571429
Botswana,3.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,109.08333333333334,151.31508875739644
Botswana,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,109.08333333333334,526.7740693196406
Botswana,5.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,183.0,109.08333333333334,1085.6772366930918
Botswana,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,109.08333333333334,237.06111696522655
Botswana,7.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,109.08333333333334,5728.0
Botswana,11.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,109.08333333333334,581.2519280205655
Botswana,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,109.08333333333334,1039.5979899497488
Brazil,1.0,0,2,0,4,0,28,0,0,0,0,3,0,2,0,1,146.8,49.6991067959818,434.68226600985224
Brazil,2.0,0,1,0,2,1,13,0,0,0,0,2,0,0,0,0,47.0625,49.6991067959818,185.49571428571429
